Carrier contracted with,Company name,NAIC number,Logo URL
HealthSpring,HealthSpring Insurance Company (f/k/a CIC),65269,https://www.cigna.com/static/www-cigna-com/images/logos/cigna-logo.png
HealthSpring,HealthSpring National Health Insurance Company (f/k/a CNHIC),61727,https://www.cigna.com/static/www-cigna-com/images/logos/cigna-logo.png
HealthSpring,CIGNA HEALTH AND LIFE INSURANCE COMPANY,67369,https://www.cigna.com/static/www-cigna-com/images/logos/cigna-logo.png
HealthSpring,AMERICAN RETIREMENT LIFE INSURANCE COMPANY (CIGNA),88366,https://www.cigna.com/static/www-cigna-com/images/logos/cigna-logo.png
HealthSpring,Loyal American Life Insurance Company (CIGNA),65722,https://www.cigna.com/static/www-cigna-com/images/logos/cigna-logo.png
HealthSpring,MEDCO CONTAINMENT LIFE INSURANCE COMPANY (CIGNA),63762,https://www.cigna.com/static/www-cigna-com/images/logos/cigna-logo.png
HealthSpring,Connecticut General Life Insurance Company (CGLIC),62308,https://www.cigna.com/static/www-cigna-com/images/logos/cigna-logo.png
HealthSpring,Life Insurance Company of North America (LINA),65498,https://www.cigna.com/static/www-cigna-com/images/logos/cigna-logo.png
HealthSpring,"Cigna HealthCare of New Jersey, Inc.",95500,https://www.cigna.com/static/www-cigna-com/images/logos/cigna-logo.png
HealthSpring,Cigna Specialty Insurance Company,22675,https://www.cigna.com/static/www-cigna-com/images/logos/cigna-logo.png
HealthSpring,Indemnity Insurance Company of North America,25348,https://www.cigna.com/static/www-cigna-com/images/logos/cigna-logo.png
HealthSpring,"HealthSpring Life & Health Insurance Company, Inc.",12902,https://www.cigna.com/static/www-cigna-com/images/logos/cigna-logo.png
HealthSpring,"Bravo Health Pennsylvania, Inc.",11524,https://www.cigna.com/static/www-cigna-com/images/logos/cigna-logo.png
HealthSpring,"Bravo Health New Jersey, Inc.",12832,https://www.cigna.com/static/www-cigna-com/images/logos/cigna-logo.png
HealthSpring,"Cigna HealthCare of Arizona, Inc.",11210,https://www.cigna.com/static/www-cigna-com/images/logos/cigna-logo.png
HealthSpring,"Cigna HealthCare of Florida, Inc.",95201,https://www.cigna.com/static/www-cigna-com/images/logos/cigna-logo.png
HealthSpring,"Cigna HealthCare of Georgia, Inc.",95104,https://www.cigna.com/static/www-cigna-com/images/logos/cigna-logo.png
HealthSpring,"Cigna HealthCare of Illinois, Inc.",95123,https://www.cigna.com/static/www-cigna-com/images/logos/cigna-logo.png
HealthSpring,"Cigna HealthCare of North Carolina, Inc.",95202,https://www.cigna.com/static/www-cigna-com/images/logos/cigna-logo.png
HealthSpring,"Cigna HealthCare of Ohio, Inc.",95125,https://www.cigna.com/static/www-cigna-com/images/logos/cigna-logo.png
HealthSpring,"Cigna HealthCare of South Carolina, Inc.",95127,https://www.cigna.com/static/www-cigna-com/images/logos/cigna-logo.png
HealthSpring,"Cigna HealthCare of St. Louis, Inc.",95126,https://www.cigna.com/static/www-cigna-com/images/logos/cigna-logo.png
HealthSpring,"Cigna HealthCare of Tennessee, Inc.",95128,https://www.cigna.com/static/www-cigna-com/images/logos/cigna-logo.png
HealthSpring,"Cigna HealthCare of Texas, Inc.",95129,https://www.cigna.com/static/www-cigna-com/images/logos/cigna-logo.png
HealthSpring,"Cigna HealthCare of Utah, Inc.",95129,https://www.cigna.com/static/www-cigna-com/images/logos/cigna-logo.png
HealthSpring,"HealthSpring of Florida, Inc.",95415,https://www.cigna.com/static/www-cigna-com/images/logos/cigna-logo.png
HealthSpring,"HealthSpring of Tennessee, Inc.",11525,https://www.cigna.com/static/www-cigna-com/images/logos/cigna-logo.png
HealthSpring,Cigna Health and Life Insurance Company (Special Medicare Advantage Charter),14144,https://www.cigna.com/static/www-cigna-com/images/logos/cigna-logo.png
Aetna,AETNA HEALTH AND LIFE INSURANCE COMPANY,78700,https://www.aetna.com/content/dam/aetna/images/logos/aetna-cvs-health-logo.png
Aetna,AETNA HEALTH INSURANCE COMPANY,72052,https://www.aetna.com/content/dam/aetna/images/logos/aetna-cvs-health-logo.png
Aetna,AETNA LIFE INSURANCE COMPANY,60054,https://www.aetna.com/content/dam/aetna/images/logos/aetna-cvs-health-logo.png
Aetna,Accendo Insurance Company (a CVS company and Aetna affiliate),63444,https://www.aetna.com/content/dam/aetna/images/logos/aetna-cvs-health-logo.png
Aetna,American Continental Insurance Company (Aetna),12321,https://www.aetna.com/content/dam/aetna/images/logos/aetna-cvs-health-logo.png
Aetna,"Continental Life Insurance Company of Brentwood, Tennessee (Aetna)",68500,https://www.aetna.com/content/dam/aetna/images/logos/aetna-cvs-health-logo.png
Aetna,First Health Life & Health Insurance Company,90328,https://www.aetna.com/content/dam/aetna/images/logos/aetna-cvs-health-logo.png
Aetna,Coventry Health and Life Insurance Company,81973,https://www.aetna.com/content/dam/aetna/images/logos/aetna-cvs-health-logo.png
Aetna,Pennsylvania Life Insurance Company,67660,https://www.aetna.com/content/dam/aetna/images/logos/aetna-cvs-health-logo.png
Aetna,Sutter Health and Aetna Insurance Company,16979,https://www.aetna.com/content/dam/aetna/images/logos/aetna-cvs-health-logo.png
Aetna,"CHC Casualty Risk Retention Group, Inc.",11531,https://www.aetna.com/content/dam/aetna/images/logos/aetna-cvs-health-logo.png
Aetna,Aetna Insurance Company of America,76953,https://www.aetna.com/content/dam/aetna/images/logos/aetna-cvs-health-logo.png
Aetna,Aetna Life Insurance Company of America,97101,https://www.aetna.com/content/dam/aetna/images/logos/aetna-cvs-health-logo.png
Aetna,United Teacher Associates Insurance Company,63479,https://www.aetna.com/content/dam/aetna/images/logos/aetna-cvs-health-logo.png
Aetna,American Progressive Life & Health Insurance Company of New York,80624,https://www.aetna.com/content/dam/aetna/images/logos/aetna-cvs-health-logo.png
Bankers Fidelity,BANKERS FIDELITY LIFE INSURANCE COMPANY,61239,https://www.bankersfidelity.com/Portals/0/bankers-fidelity-logo.png
Bankers Fidelity,Bankers Fidelity Assurance Company,71919,https://www.bankersfidelity.com/Portals/0/bankers-fidelity-logo.png
Bankers Fidelity,Atlantic Capital Life Assurance Company,17393,https://www.bankersfidelity.com/Portals/0/bankers-fidelity-logo.png
Humana,"HUMANA INSURANCE OF PUERTO RICO, INC",84603,https://www.humana.com/content/dam/humana/legal/images/humana-logo.png
Humana,"Humana Health Benefit Plan of Louisiana, Inc.",95642,https://www.humana.com/content/dam/humana/legal/images/humana-logo.png
Humana,Humana Insurance Company,60219,https://www.humana.com/content/dam/humana/legal/images/humana-logo.png
Humana,Humana Insurance Company (Primary Charter),73288,https://www.humana.com/content/dam/humana/legal/images/humana-logo.png
Humana,"Humana Benefit Plan of Illinois, Inc.",60052,https://www.humana.com/content/dam/humana/legal/images/humana-logo.png
Humana,HumanaDental Insurance Company,70580,https://www.humana.com/content/dam/humana/legal/images/humana-logo.png
Humana,Humana Insurance Company of New York,12634,https://www.humana.com/content/dam/humana/legal/images/humana-logo.png
Humana,Emphesys Insurance Company,88595,https://www.humana.com/content/dam/humana/legal/images/humana-logo.png
Humana,Humana Insurance Company (Missouri),62189,https://www.humana.com/content/dam/humana/legal/images/humana-logo.png
Humana,"Humana Health Plan, Inc. (Kentucky)",95158,https://www.humana.com/content/dam/humana/legal/images/humana-logo.png
Humana,"Humana Health Plan of Texas, Inc.",69671,https://www.humana.com/content/dam/humana/legal/images/humana-logo.png
Humana,"Humana Health Plan of Ohio, Inc.",60984,https://www.humana.com/content/dam/humana/legal/images/humana-logo.png
Humana,Wisconsin National Life Insurance Company,70580,https://www.humana.com/content/dam/humana/legal/images/humana-logo.png
Humana,"Humana Regional Health Plan, Inc.",12282,https://www.humana.com/content/dam/humana/legal/images/humana-logo.png
Mutual of Omaha,MUTUAL OF OMAHA INSURANCE COMPANY,71412,https://www.mutualofomaha.com/images/logos/mutual-of-omaha-logo.png
Mutual of Omaha,UNITED OF OMAHA LIFE INSURANCE COMPANY,69868,https://www.mutualofomaha.com/images/logos/mutual-of-omaha-logo.png
Mutual of Omaha,UNITED WORLD LIFE INSURANCE COMPANY,72850,https://www.mutualofomaha.com/images/logos/mutual-of-omaha-logo.png
Mutual of Omaha,Omaha Insurance Company,13100,https://www.mutualofomaha.com/images/logos/mutual-of-omaha-logo.png
Mutual of Omaha,Omaha Supplemental Insurance Company,16537,https://www.mutualofomaha.com/images/logos/mutual-of-omaha-logo.png
Mutual of Omaha,Companion Life Insurance Company,62243,https://www.mutualofomaha.com/images/logos/mutual-of-omaha-logo.png
Mutual of Omaha,Central States Health & Life Co. of Omaha,61751,https://www.mutualofomaha.com/images/logos/mutual-of-omaha-logo.png
Mutual of Omaha,Central States Indemnity Co. of Omaha,34274,https://www.mutualofomaha.com/images/logos/mutual-of-omaha-logo.png
Manhattan Life,ManhattanLife Insurance and Annuity Company,61883,https://www.manhattanlife.com/Portals/0/ManhattanLife-Logo.png
Manhattan Life,ManhattanLife of America Insurance Company,16755,https://www.manhattanlife.com/Portals/0/ManhattanLife-Logo.png
Manhattan Life,The Manhattan Life Insurance Company,65870,https://www.manhattanlife.com/Portals/0/ManhattanLife-Logo.png
Manhattan Life,Western United Life Assurance Company,85189,https://www.manhattanlife.com/Portals/0/ManhattanLife-Logo.png
Manhattan Life,Family Life Insurance Company,63053,https://www.manhattanlife.com/Portals/0/ManhattanLife-Logo.png
Manhattan Life,State Mutual Insurance Company,69132,https://www.manhattanlife.com/Portals/0/ManhattanLife-Logo.png
Manhattan Life,Old Surety Life Insurance Company,67326,https://www.manhattanlife.com/Portals/0/ManhattanLife-Logo.png
ACE/INA,ACE PROPERTY AND CASUALTY INSURANCE COMPANY,20699,https://www.chubb.com/content/dam/chubb-sites/chubb/images/logos/chubb-logo.png
ACE/INA,INSURANCE COMPANY OF NORTH AMERICA,22713,https://www.chubb.com/content/dam/chubb-sites/chubb/images/logos/chubb-logo.png
ACE/INA,ACE American Insurance Company,22667,https://www.chubb.com/content/dam/chubb-sites/chubb/images/logos/chubb-logo.png
ACE/INA,ACE Fire Underwriters Insurance Company,20702,https://www.chubb.com/content/dam/chubb-sites/chubb/images/logos/chubb-logo.png
ACE/INA,ACE Life Insurance Company,60348,https://www.chubb.com/content/dam/chubb-sites/chubb/images/logos/chubb-logo.png
ACE/INA,Bankers Standard Insurance Company,18279,https://www.chubb.com/content/dam/chubb-sites/chubb/images/logos/chubb-logo.png
ACE/INA,Indemnity Insurance Company of North America,43575,https://www.chubb.com/content/dam/chubb-sites/chubb/images/logos/chubb-logo.png
ACE/INA,Federal Insurance Company,20281,https://www.chubb.com/content/dam/chubb-sites/chubb/images/logos/chubb-logo.png
ACE/INA,Great Northern Insurance Company,20303,https://www.chubb.com/content/dam/chubb-sites/chubb/images/logos/chubb-logo.png
ACE/INA,Pacific Indemnity Company,20346,https://www.chubb.com/content/dam/chubb-sites/chubb/images/logos/chubb-logo.png
ACE/INA,Pacific Employers Insurance Company,22748,https://www.chubb.com/content/dam/chubb-sites/chubb/images/logos/chubb-logo.png
ACE/INA,Vigilant Insurance Company,20397,https://www.chubb.com/content/dam/chubb-sites/chubb/images/logos/chubb-logo.png
ACE/INA,Westchester Fire Insurance Company,21121,https://www.chubb.com/content/dam/chubb-sites/chubb/images/logos/chubb-logo.png
UnitedHealthcare,"AARP - UNITEDHEALTHCARE OF ARIZONA, INC.",96016,https://www.uhc.com/content/dam/uhcdotcom/en/logos/uhc-logo.png
UnitedHealthcare,AARP - United HealthCare Insurance Company of New York,60093,https://www.uhc.com/content/dam/uhcdotcom/en/logos/uhc-logo.png
UnitedHealthcare,"AARP Medicare Supplement Insurance Plans, insured by United Healthcare Insurance Company of America",84549,https://www.uhc.com/content/dam/uhcdotcom/en/logos/uhc-logo.png
UnitedHealthcare,"AARP Medicare Supplement Plans, insured by UnitedHealthcare",79413,https://www.uhc.com/content/dam/uhcdotcom/en/logos/uhc-logo.png
UnitedHealthcare,"United HealthCare of Alabama, Inc.",95784,https://www.uhc.com/content/dam/uhcdotcom/en/logos/uhc-logo.png
UnitedHealthcare,UnitedHealthcare Insurance Company,79413,https://www.uhc.com/content/dam/uhcdotcom/en/logos/uhc-logo.png
UnitedHealthcare,UnitedHealthcare Insurance Company of America,84549,https://www.uhc.com/content/dam/uhcdotcom/en/logos/uhc-logo.png
UnitedHealthcare,Golden Rule Insurance Company,62286,https://www.uhc.com/content/dam/uhcdotcom/en/logos/uhc-logo.png
UnitedHealthcare,Chesapeake Life Insurance Company,61832,https://www.uhc.com/content/dam/uhcdotcom/en/logos/uhc-logo.png
UnitedHealthcare,UnitedHealthcare Life Insurance Company,97179,https://www.uhc.com/content/dam/uhcdotcom/en/logos/uhc-logo.png
UnitedHealthcare,Unimerica Insurance Company,91529,https://www.uhc.com/content/dam/uhcdotcom/en/logos/uhc-logo.png
UnitedHealthcare,Coventry Health and Life Insurance Company,81973,https://www.uhc.com/content/dam/uhcdotcom/en/logos/uhc-logo.png
UnitedHealthcare,MAMSI Life and Health Insurance Company,60321,https://www.uhc.com/content/dam/uhcdotcom/en/logos/uhc-logo.png
UnitedHealthcare,PacifiCare Life and Health Insurance Company,70785,https://www.uhc.com/content/dam/uhcdotcom/en/logos/uhc-logo.png
UnitedHealthcare,"Sierra Health and Life Insurance Company, Inc.",71420,https://www.uhc.com/content/dam/uhcdotcom/en/logos/uhc-logo.png
UnitedHealthcare,Centurion Casualty Company,42765,https://www.uhc.com/content/dam/uhcdotcom/en/logos/uhc-logo.png
Aflac,"Aflac, underwritten by Tier One Insurance Company",60380,https://www.aflac.com/content/dam/aflac/images/logos/aflac-logo.png
Aflac,American Family Life Assurance Company of Columbus (Aflac),60380,https://www.aflac.com/content/dam/aflac/images/logos/aflac-logo.png
Aflac,American Home Life Insurance Company,60542,https://www.aflac.com/content/dam/aflac/images/logos/aflac-logo.png
Aflac,Tier One Life Insurance Company (California),92908,https://www.aflac.com/content/dam/aflac/images/logos/aflac-logo.png
Aflac,Colonial Penn Life Insurance Company,62065,https://www.aflac.com/content/dam/aflac/images/logos/aflac-logo.png
Aflac,Continental American Insurance Company,60518,https://www.aflac.com/content/dam/aflac/images/logos/aflac-logo.png
Aflac,Nassau Life Insurance Company,67814,https://www.aflac.com/content/dam/aflac/images/logos/aflac-logo.png
Aflac,American Progressive Life & Health Insurance Company of New York,80624,https://www.aflac.com/content/dam/aflac/images/logos/aflac-logo.png
Medico / Wellabe,Medico Insurance Company,31119,https://www.wellabe.com/Portals/0/wellabe-logo.png
Medico / Wellabe,Medico Corp Life Insurance Company,79987,https://www.wellabe.com/Portals/0/wellabe-logo.png
Medico / Wellabe,Medico Life and Health Insurance Company,65641,https://www.wellabe.com/Portals/0/wellabe-logo.png
Medico / Wellabe,American Republic Insurance Company,60836,https://www.wellabe.com/Portals/0/wellabe-logo.png
Medico / Wellabe,Great Western Insurance Company,71480,https://www.wellabe.com/Portals/0/wellabe-logo.png
Medico / Wellabe,World Insurance Company,70629,https://www.wellabe.com/Portals/0/wellabe-logo.png
Medico / Wellabe,American Republic Corp Insurance Company,67679,https://www.wellabe.com/Portals/0/wellabe-logo.png
